id,text,tweet_limpio,HS_pred,TR_pred,AG_pred
20929,Esto es para ti indocumentado  https://t.co/8mQq3aa02q  @dejanirasilveir @EduardoJFloresF,esto es para ti indocumentado url user user,0,0,0
22807,@CameArrascae Cllate perra que deje la ventana del balcn del apto abierta jajajajaja me quiero matar,user cllate perra que deje la ventana del balcn del apto abierta jajajajaja me quiero matar,1,1,1
24595,@A_Bermejo Han echo de puta madre en ensearte ahora vamos unos pocos a tomar algo jajajajaja,user han echo de puta madre en ensearte ahora vamos unos pocos a tomar algo jajajajaja,0,0,0
23092,@realDonaldTrump recuerde seor presidente el xq ni arabes xq como payasos ponen su cara en mi familua y chinos xq ponen a un loco y un cinico assesino como mi mirada recuerde senor presidente el xq ni arabes ni chinos,user recuerde seor presidente el xq ni arabes xq como payasos ponen su cara en mi familua y chinos xq ponen a un loco y un cinico assesino como mi mirada recuerde senor presidente el xq ni arabes ni chinos,0,0,0
22129,heeeeeey gero  https://t.co/UFcgGli3th,heeeeeey gero url,0,0,0
22436,si alguien tiene la imagen del pokemon ese bailando con el machupichu hoy no cobras tirititirititiritiirii que la ponga,si alguien tiene la imagen del pokemon ese bailando con el machupichu hoy no cobras tirititirititiritiirii que la ponga,0,0,0
22197,@soyMelinna_2013 maldita tu eres puta o das el culo gratis o aceptas cesta ticket,user maldita tu eres puta o das el culo gratis o aceptas cesta ticket,1,1,1
24369,"""""Demandan a Trump por trato """"""""inhumano"""""""" a indocumentados - Estilo FM https://t.co/E94Lv8M416""""",demandan a trump por trato inhumano a indocumentados estilo fm url,0,0,0
21814,@valecmn @mauroveneno24 Veridico. En la calle 'rica mi amor' y uno: 'que le pasa imbcil' el de nuevo: 'o zorra malparida'  #resentidos,user user veridico en la calle rica mi amor y uno que le pasa imbcil el de nuevo o zorra malparida resentidos,0,0,0
23464,@Alddo__ Cllate loca todo el ao fue al revs puta,user cllate loca todo el ao fue al revs puta,1,1,1
23090,@crisralar22 @ireneruedas_ @NataliaRuedas_ cllate y relaja la puta mandbula,user user user cllate y relaja la puta mandbula,0,1,1
