id;text;HS;TR;AG
20430;@SomosRedSaime  amigos SAIME mi nombre es walter perez V-13.899.989 wperez001@gmail.com y desde el 16/03/2017 que fui a cita aun no me imprimen el pasaporte estoy indocumentado en el extranjero ayuda porfavor lo necesito urgente gracias . @NestorReverol  https://t.co/yyDKMQ9mXS;0;0;0
22434;Preferan enfrentar los peligros de regresar a su hogar antes que ser encarcelados en estas condiciones seal la organizacin que tambin demand a la polica migratoria ICE. https://t.co/654ufpp28n;0;0;0
23930;@srtaalegre_ Siiii jajjajajajjajajaja yo te iba a ensear pero vivs lejos nde puta.;0;0;0
20412;@anaisbernal Esta es la justicia en espaa para estos indeseables una puta verguenza;0;0;0
23531;Escucho Arabe y me dan ms ganas de estar en cheboli muviendo el orto con mis amigas we;0;0;0
22943;Gran operacin contra las mafias dedicadas al trfico de inmigrantes https://t.co/ojJon21P51;0;0;0
21532;Santos firma un decreto que regular a 400.000 venezolanos indocumentados su situacin en Colombia https://t.co/DKDPtbjynt via @notimerica;0;0;0
24599;@CaroPapaleo Cllate Yegua Puta Culiada hija de Montoneros Mal Paridos;1;1;1
24427;#Sudaca Escucha tu #Rock clsico latinoamericano favorito. Sintonzanos a las 8AM por https://t.co/dUBofTN0sg ! #EscuchaHDRadio #radioshow#radiomix #radioweb #radiostudio #DDHH https://t.co/skU4JwqF17;0;0;0
24244;Las mil y un historias del Gero en su instancia en Boquillas;0;0;0
23901;Dan ideas a Marlaska para que los pobres negratas pasen la valla con menos sufrimiento !!! https://t.co/b6bfpcf0xg;1;0;0
20148;Racismo es que hagas enfrijoladas con frijoles geros y no negros.;0;0;0
20512;@JKCorden Oh por favor cinico de mierda !!! Pegarte una patada en la cara seria poco.Que asco de tipo;0;0;0
20118;Antonio Adn: Mi novia es sevillista y es una puta mas | Sevilla 3 Real ... https://t.co/Pk1TYziPU8 va @YouTube;1;1;1
23524;Vamos vamos la puta madre lo dimos todos estoy tan feliz no pare de votar te adoro flor te mereces todo en esta vida #Showmach2017;0;0;0
22111;@realmadrid @Benzema Ya retirate hijo de tu puta madre solo das pena en el campo no mereces estar en este equipo solo por que te ha de cojer el peln de entrenador;0;0;0
20744;Vecina chupa pija callate la boca que cantas horrible la puta que te pario;1;1;1
21128;@DjLamYT @MarinaMayrin CALLATE LA PUTA BOCA TIO;0;0;0
23475;@sanchezcastejon y el PSOE crean el primer campo de  concentracin para refugiados en Algeciras.;0;0;0
23486;Gera @cecy_gtz muchas felicidades que te la sigas pasando de maravilla. Te mando muchos besos  te quiero montones;0;0;0
20995;Ahora mirad la actuacin de Raoul y decidme a mi puta cara que mereca quedarse frente a Cepeda. DECDMELO.;0;0;0
23543;Cabron t no eres patrn t eres la puta de pina;0;0;0
24121;Un par de hostias te mereces escoria https://t.co/5GJpN7E4jX;0;0;0
24625;EN LA PRIMERA PARTIDA ME HE COMIDO UNA POLLA POR IMBECIL VAMOS A LA SEGUNDA https://t.co/cQvgerFbXi;0;0;0
20720;@Luiisspm @YouTube Cllate perra al rato empedamos;1;1;1
22597;Por una vez estoy de acuerdo. Me preocupa el giro hacia la derecha que est tomando la poltica Israel.   Ciudadana cvica y no tnica. Preservacin de la cultura palestina e igualdad de derechos para rabes. Esto es lo que quisiera ver en Israel/Palestina. https://t.co/lDe7tw2IaM;0;0;0
23071;La ministra Valerio est realizando una verdadera poltica de izquierdas y progreso en el mbito de la inmigracin.  https://t.co/ImWxqulrCE;0;0;0
20391;@_Gxbxh @Dianbanana_ perra estupida ahora tu eres la gorda;1;1;1
21400;@TuestyGam3r @HappyLittleToad QUE APRENDAS A ESCRIBIR HIJO DE LA GRAN PUTA CLLATE YA COO;0;0;0
22678;Quiero vivir en suecia lastima que no soy un arabe de mierda :(;1;0;1
21035;@Franciscodagst no veo la correa de perra para que te traten como mereces;1;1;1
22443;@anaisbernal Estos personajes consiguen sacarme las pasiones ms bajas. Me encantara que terminara en la puta calle;0;0;0
21732;@YoconYunes no es contigo Pendejo con quien el gran Obrador deba debatir.. tu eres un corrupto ms del sistema hijo de tu puta madre;0;0;0
20708;Encore les arabes https://t.co/FKF8Uk7lMh;0;0;0
23047;@JLozanoA @alelagunes TU ERES HECES LAME HUEVOS HIJO DE PUTA;0;0;0
